Well,Name,Ct,Dilution,Abundance,Concentration
A4,fix D1,10.12,1,0.9388547467195071,0.004506502784253633
B4,fix D1,10.14,1,0.9272826493432201,0.004450956716847456
C4,fix D1,10.16,1,0.9158531868507159,0.004396095296883436
D4,fix D10,13.62,10,0.10715209927765523,0.0005143300765327451
E4,fix D10,13.72,10,0.10070924043783677,0.00048340435410161646
F4,fix D10,13.7,10,0.10196604939232759,0.0004894370370831724
G4,fix D10^2,17.2,100,0.011637451145252832,5.585976549721359e-05
H4,fix D10^2,17.54,100,0.009425214330746431,4.524102878758287e-05
A5,fix D10^2,17.36,100,0.010538230394484644,5.058350589352628e-05
B5,fix D10^3,20.95,1000,0.0011374484930854198,5.459752766810015e-06
C5,fix D10^3,21.14,1000,0.0010110255921162985,4.852922842158233e-06
D5,fix D10^3,21.13,1000,0.0010173146188875778,4.8831101706603724e-06
E5,fix D10^4,24.78,10000,0.00010579387331412049,5.078105919077784e-07
F5,fix D10^4,24.91,10000,9.759998371905776e-05,4.684799218514772e-07
G5,fix D10^4,24.92,10000,9.699662179041778e-05,4.6558378459400534e-07
H5,fix D10^5,28.57,100000,1.0086995829091837e-05,4.841757997964081e-08
A6,fix D10^5,28.69,100000,9.363629151792433e-06,4.494541992860368e-08
B6,fix D10^5,28.77,100000,8.910439263621677e-06,4.277010846538404e-08
